pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FF,4/2/2024,95,-2.01,5.22,"Rocchio, Brayan",677587,622491,single,hit_into_play,,,,,3,Brayan Rocchio singles on a pop up to left fielder Dominic Canzone.   Bo Naylor to 2nd.,R,L,R,SEA,CLE,X,7,popup,0,2,2024,-0.85,1.2,0.69,3.18,,,666310,2,6,Top,87.46,125.97,,,,,8.809588894,-138.1844612,-2.337745051,-12.83693599,30.27404677,-16.44267944,3.1,1.4,180,61.9,28,93.5,2061,5.4,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.11,0.709,0.638,0.9,1,1,0,4,46,3,4-Seam Fastball,0,4,4,0,4,0,4,0,Infield shade,Standard,239,-0.006,0.386,,,0.75,-0.386,88,-4,4,0.082,0.918,31,23,32,23,3,2,5,1,6,1,1.32,0.85,-0.85,19.4
CH,4/2/2024,88.5,-2.09,4.95,"Rocchio, Brayan",677587,622491,,foul,,,,,4,Brayan Rocchio singles on a pop up to left fielder Dominic Canzone.   Bo Naylor to 2nd.,R,L,R,SEA,CLE,S,,,0,1,2024,-1.4,0.07,-0.3,2.29,,,666310,2,6,Top,,,,,,,7.152184822,-128.7636525,-0.628006575,-17.00907224,24.58999553,-31.42062836,3.1,1.4,3,69,-38,87.4,1677,5.4,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.06,,,,,,,,46,2,Changeup,0,4,4,0,4,0,4,0,Standard,Standard,253,0,-0.046,,,,0.046,88,-4,4,0.082,0.918,31,23,32,23,3,2,5,1,6,1,2.82,1.4,-1.4,14.4
SI,4/2/2024,95,-2.02,5.12,"Rocchio, Brayan",677587,622491,,called_strike,,,,,2,Brayan Rocchio singles on a pop up to left fielder Dominic Canzone.   Bo Naylor to 2nd.,R,L,R,SEA,CLE,S,,,0,0,2024,-1.48,0.15,-0.14,3.15,,,666310,2,6,Top,,,,,,,8.099204861,-138.1953336,0.123694014,-20.78968466,29.58467983,-30.45310089,3.09,1.39,,,,93.7,1832,5.5,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.04,,,,,,,,46,1,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,238,0,-0.039,,,,0.039,,-4,4,0.082,0.918,31,23,32,23,3,2,5,1,6,1,2.37,1.48,-1.48,21.9
KC,4/2/2024,80.8,-3.13,5.61,"Rizzo, Anthony",519203,668678,field_out,hit_into_play,,,,,13,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,X,1,ground_ball,3,2,2024,0.5,-1.1,-1.01,1.13,,,665742,2,6,Top,113.82,188.11,,,,,3.785865599,-117.5686367,-1.172777695,3.87672977,23.9691485,-42.30162336,3.66,1.73,1,31.7,-62,81.1,2479,6.7,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.82,0.286,0.243,0,1,0,0,1,45,6,Knuckle Curve,3,0,0,3,0,3,0,3,Infield shade,Standard,42,0.021,-0.269,,,0.296,0.269,88,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,4.61,-0.5,0.5,36.3
FF,4/2/2024,95.4,-1.95,5.12,"Hedges, Austin",595978,622491,strikeout,foul_tip,,,,,5,Austin Hedges strikes out on a foul tip.,R,R,R,SEA,CLE,S,2,,1,2,2024,-1.08,0.9,-0.04,2.52,,,666310,1,6,Top,,,,,,,7.31546529,-138.7773352,-3.2297754,-15.53001974,28.21573845,-19.94887044,3.18,1.45,,,,94.3,2153,5.5,745273,663728,664034,593871,668942,641487,686527,677594,571745,55.04,,0,0,1,0,0,,45,4,4-Seam Fastball,0,4,4,0,4,0,4,0,Standard,Standard,238,0.008,-0.214,,,,0.214,,-4,4,0.074,0.926,31,31,32,32,3,2,5,3,6,6,1.59,1.08,1.08,17.5
SI,4/2/2024,90.7,-1.26,5.13,"Ohtani, Shohei",660271,657277,walk,ball,,,,,11,Shohei Ohtani walks.   Enrique HernÃ¡ndez to 2nd.,R,L,R,LAD,SF,B,,,3,0,2024,-1.45,0.09,-2.25,3.29,,,571771,2,4,Bot,,,,,,,0.620900307,-132.0243809,1.226849634,-16.88805776,32.43968765,-31.63991567,3.55,1.66,,,,91,1865,6.8,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.68,,0.689131,0.7,1,0,0,,37,4,Sinker,5,2,5,2,2,5,5,2,Infield shade,Standard,234,0.009,0.09,,,,-0.09,,3,3,0.857,0.857,27,29,28,30,3,2,5,1,5,1,2.71,1.45,-1.45,27.9
SI,4/2/2024,91.8,1.75,4.89,"Casas, Triston",671213,622072,walk,ball,,,,,11,Triston Casas walks.,R,L,L,OAK,BOS,B,,,3,2,2024,0.93,1.04,-2.09,2.97,,,,0,6,Top,,,,,,,-11.65858878,-133.0592394,-1.161627987,13.64844846,31.14621036,-19.90599089,3.51,1.75,,,,91,2104,6.2,745680,669127,676116,680869,605204,669397,664913,668709,671732,54.29,,0.689131,0.7,1,0,0,,46,8,Sinker,4,3,3,4,3,4,3,4,Infield shade,Standard,122,-0.06,0.333,,,,-0.333,,1,-1,0.667,0.333,33,24,33,24,3,2,5,1,7,1,1.71,0.93,0.93,23.9
SI,4/2/2024,94,-1.9,4.99,"Hedges, Austin",595978,622491,,called_strike,,,,,9,Austin Hedges strikes out on a foul tip.,R,R,R,SEA,CLE,S,,,1,1,2024,-1.6,0.39,0.77,1.72,,,666310,1,6,Top,,,,,,,10.29839021,-136.5733086,-3.630539653,-22.21906604,26.09347999,-26.74132528,2.95,1.47,,,,93.1,1917,5.6,745273,663728,664034,593871,668942,641487,686527,677594,571745,54.93,,,,,,,,45,3,Sinker,0,4,4,0,4,0,4,0,Standard,Standard,239,0,-0.069,,,,0.069,,-4,4,0.074,0.926,31,31,32,32,3,2,5,3,6,6,2.17,1.6,1.6,15
SI,4/2/2024,89.9,-1.14,5.01,"Ohtani, Shohei",660271,657277,,ball,,,,,12,Shohei Ohtani walks.   Enrique HernÃ¡ndez to 2nd.,R,L,R,LAD,SF,B,,,2,0,2024,-1.45,0.07,1.31,2.92,,,571771,2,4,Bot,,,,,,,9.30075462,-130.5582448,0.791114548,-18.59459837,30.43645184,-31.87067605,3.6,1.67,,,,90.7,1916,7.1,746169,672275,527038,642731,656305,605113,624424,808982,573262,53.36,,,,,,,,37,3,Sinker,5,2,5,2,2,5,5,2,Standard,Standard,243,0,0.064,,,,-0.064,,3,3,0.857,0.857,27,29,28,30,3,2,5,1,5,1,2.79,1.45,-1.45,24.9
FF,4/2/2024,93.4,-3.17,5.63,"Rizzo, Anthony",519203,668678,,ball,,,,,13,"Anthony Rizzo grounds out softly, pitcher Zac Gallen to first baseman Christian Walker.",R,L,R,AZ,NYY,B,,,2,2,2024,-0.59,1.49,-1,1.17,,,665742,2,6,Top,,,,,,,6.960233591,-135.6803336,-9.133126474,-8.771815476,28.35399773,-11.90379048,3.58,1.59,,,,94.6,2362,7,747220,672515,572233,606466,553993,672695,666971,678489,664983,53.5,,,,,,,,45,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shade,Standard,209,0,0.072,,,,-0.072,,3,-3,0.897,0.103,28,34,29,35,3,2,5,1,6,1,1.12,0.59,-0.59,40
